id,filename,title,domain,source_url,notes
1,196-Li-Open-Access-Publishing.pdf,Open Access Publishing,Education,https://www.libraryassessment.org/wp-content/uploads/2021/03/196-Li-Open-Access-Publishing.pdf,Available from institutional repository
2,A Review Examining Biases in Workplace Hiring and Promotion Proce.pdf,A Review Examining Biases in Workplace Hiring and Promotion Processes,Finance,https://scholarship.claremont.edu/cmc_theses/3221/,Employment discrimination research
3,A-Container-based-Approach-for-Proactive-Asset-Administration-Shell-Digital-Twins.pdf,A Container-based Approach for Proactive Asset Administration Shell Digital Twins,Computer Science,https://arxiv.org/pdf/2512.15452.pdf,Digital twins research
4,Advanced Electronic Health Records (EHR) and Their Impact on Medi.pdf,Advanced Electronic Health Records (EHR) and Their Impact on Medicine,Medical,https://wjarr.com/sites/default/files/WJARR-2024-0478.pdf,EHR impact study
5,Analysis of Research Trends in Computer Science- A Network Approach.pdf,Analysis of Research Trends in Computer Science: A Network Approach,Computer Science,https://arxiv.org/pdf/2311.09348.pdf,Research trends analysis
6,Analysis-of-Provincial-Export-Performance-in-Turkiye-A-Spectral-Clustering-Approach.pdf,Analysis of Provincial Export Performance in Turkiye: A Spectral Clustering Approach,Finance,https://arxiv.org/pdf/2512.04466.pdf,Economic analysis Turkey
7,BENG 100 Frontiers of Biomedical Engineering Professor Mark Saltzman .pdf,BENG 100 Frontiers of Biomedical Engineering,Medical,https://openmedia.yale.edu/projects/iphone/departments/beng/beng100.html,Yale biomedical engineering course
8,Basic-income-and-labor-supply-Evidence-from-an-RCT-in-Germany.pdf,Basic Income and Labor Supply: Evidence from an RCT in Germany,Finance,https://www.econstor.eu/bitstream/10419/322502/1/cesifo1_wp11940.pdf,Universal basic income RCT
9,Bridging-Natural-Language-and-Formal-Specification-Translation-of-Software-Requirements-to-LTL.pdf,Bridging Natural Language and Formal Specification: Translation of Software Requirements to LTL,AI/ML,https://arxiv.org/pdf/2512.17334.pdf,Requirements engineering
10,Can-AI-Generate-More-Comprehensive-Test-Scenarios-Review-on-Automated-Driving-Systems-Test-Scenario-Generation-Methods.pdf,Can AI Generate More Comprehensive Test Scenarios: Review on Automated Driving Systems,AI/ML,https://arxiv.org/pdf/2512.15422.pdf,Autonomous vehicles testing
11,Climate+change+and+migration+.pdf,Climate Change and Migration,Finance,https://www.cgdev.org/sites/default/files/climate-change-and-migration-omnibus-overview-policymakers-and-development.pdf,Climate migration study
